filename,category,topic,status,version_or_date,last_modified,summary,talking_points,related_docs,webUrl,driveId,itemId,source_type
Fund FAQs_The Signatry_202507.pdf,Fact Sheet,Fund operations FAQ,current,202507,2025-07-01,"Operational FAQ covering contribution timing, grant processing timelines, QCD/IRA rules, event and membership grant restrictions (IRS excise tax risk), scholarships, and missionary support grants.","Contribution-to-availability timelines vary by funding method (ACH, wire, check, stock)|DAFs cannot receive IRA QCDs directly (use a charity fund or designated fund instead)|Event/membership grants from a DAF are restricted if the donor receives any benefit (125% excise tax risk per IRS Notice 2017-73)",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Fund%20FAQs_The%20Signatry_202507.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63C3WUDLECR62RBIQ54FWVCTW4Q7,sharepoint_pdf
Root Causes and Ripple Effects_The Signatry_202606.pdf,Guide,Cause discovery,current,202606,2026-07-15,"Explores four root causes (clean water, education access, economic opportunity/microfinance, maternal & child health) with downstream impact framing, scripture, and reflection questions to help families find a shared cause.","Frames causes around root-cause/ripple-effect logic tied to justice, mercy, and stewardship (Micah 6:8)|Four featured causes: clean water, education (esp. girls), microfinance, maternal & child health|Includes a 4-step process to help a family discover its own cause if none of the four resonate",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/Root%20Causes%20and%20Ripple%20Effects_The%20Signatry_202606.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63CG2ZOTA27HKBBZDWBODAK7EQDJ,sharepoint_pdf
How-to-Identify-Your-Familys-Values_The-Signatry_202508.pdf,Guide,Family values discussion,current,202508,2025-10-14,"5-step discussion guide to help a family identify, articulate, and celebrate 5 core shared values, with a values worksheet and word bank appendix.","5-step process: identify words, narrow to top 5, explore in scripture, turn into action statements, live them out|Includes a values-word worksheet families can fill in together|Overlaps in theme with Keys to Legacy.pdf but is the newer, more structured version","Keys to Legacy.pdf (older, broader legacy-planning guide covering similar ground plus stories/celebration)",https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/How-to-Identify-Your-Familys-Values_The-Signatry_202508.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63HBN7VJWQONY5ELR7YPGRJTMUMH,sharepoint_pdf
TheSignatry_Giving-Meeting_202508Print.pdf,Guide,Family giving meeting agenda,current,202508 (print variant),2025-08-22,"Print-formatted version of the family giving meeting agenda framework (Pre-Meeting, Consecrate, (Re)-Educate, Celebrate, Facilitate, Activate) with a sample agenda.","Intentional print-layout variant of TheSignatry_Giving-Meeting_202508.pdf - same content, not superseded|6-part meeting framework: Pre-Meeting, Consecrate, Re-Educate, Celebrate, Facilitate, Activate|Includes a full sample agenda","TheSignatry_Giving-Meeting_202508.pdf (digital-format twin, identical content)",https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/TheSignatry_Giving-Meeting_202508Print.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63CX33ABXDVAYRGKDVQFKVALS2VS,sharepoint_pdf
Business Sale_The Signatry.pdf,Fact Sheet,Business interest gift before sale,current,undated,2019-11-11,"Standalone fact sheet on donating business interest before a sale, with a $10M/20%-gift worked example showing tax savings vs. selling first.",Same $10M/20%-gift example used in the Ministry Complex Asset Guide appendix - keep numbers in sync|Gift must occur before the purchase agreement is signed|Donate as little as 1% or up to 100% of a company,,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Business%20Sale_The%20Signatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63ADKVJPSBBXN5C33DALC7GUWWZS,sharepoint_pdf
Publicly Traded Securities_The Signatry.pdf,Fact Sheet,Stock/securities gifts,current,undated,2019-11-05,"Standalone fact sheet on donating publicly traded securities to a DAF instead of selling first, with a worked example ($20K basis/$50K FMV = $26K combined tax savings).","Donating stock to a DAF avoids capital gains tax entirely vs. selling then giving|Worked example shows $26,000 in combined tax savings on a $50,000 stock gift|Same content also appears inside the Ministry Complex Asset Guide appendix",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Publicly%20Traded%20Securities_The%20Signatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63FY4BVRF4SK3VE2DMZIKTXXHV43,sharepoint_pdf
Life Insurance Gifts and The Signatry.pdf,Fact Sheet,Life insurance gifts,current,undated,2019-09-23,Explains two strategies for donating a life insurance policy: naming the DAF as beneficiary (retain ownership) vs. naming The Signatry as owner (immediate tax deduction).,"Strategy 1: keep ownership, name DAF as beneficiary - no immediate deduction but full flexibility|Strategy 2: transfer ownership to The Signatry - immediate income tax deduction, Signatry pays future premiums|Uses illustrative Susan/John examples (not real donors)",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Life%20Insurance%20Gifts%20and%20The%20Signatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63AHCOWSHDQ5FRDIIFRX62ZM2W6B,sharepoint_pdf
Real Estate_The Signatry.pdf,Fact Sheet,Real estate gifts,current,undated,2019-11-05,"Standalone fact sheet on gifting real estate to a DAF before sale, with a $1M FMV/$100K basis worked example showing full avoidance of capital gains tax.","Avoids capital gains tax entirely on the gifted portion of the property|Signatry can hold or sell the property per donor advice, with proceeds/income flowing to the DAF|Same content also appears inside the Ministry Complex Asset Guide appendix",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Real%20Estate_The%20Signatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63EZWO3MMV5QARDKDYJS2CH2H5SF,sharepoint_pdf
Family Pathways_0226.pdf,Guide,Family generosity pathways,superseded,0226 (Feb 2026),2026-02-19,"SUPERSEDED - identical content to Family Pathways_digital_202604.pdf but older. Introduces three pathways (Cause, Generosity, Family) with reflection questions for each, pointing to Kristin Hammett as the contact.",,"Family Pathways_digital_202604.pdf (current version - identical text, newer date)",https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/Family%20Pathways_0226.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63F5ZYKIFOPYNRGK6CNB5PVCAOJK,sharepoint_pdf
ThePathForward_TheSignatry_0326.pdf,Fact Sheet,Referral network / next-step resources,current,202603,2026-03-03,"Directory of The Signatry's outside resource partners for generosity, purpose, and family: Family Advisors, Journeys of Generosity, Women Doing Well, Life Plan, Legacy Letter, Kore Venture, Little Legacy Films, Philanthropic Advisors, The Finish Line Podcast.","Positions The Signatry as a referral hub, not just a fund administrator|Lists named partner programs (Journeys of Generosity, Women Doing Well, Legacy Letter, etc.)|Filename says 0326 but internal version tag reads 202603 - minor discrepancy, not a conflict",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/ThePathForward_TheSignatry_0326.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63CLJFM656DKFJAJ5FZUN6TLRPBF,sharepoint_pdf
TheSignatry_Giving-Meeting_202508.pdf,Guide,Family giving meeting agenda,current,202508 (digital variant),2025-08-22,"Digital-formatted twin of TheSignatry_Giving-Meeting_202508Print.pdf - identical content, same 6-part meeting framework and sample agenda.",,"TheSignatry_Giving-Meeting_202508Print.pdf (print-format twin, identical content)",https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/TheSignatry_Giving-Meeting_202508.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63G3BDQEAULZDRAIEUJYKBCYBLK4,sharepoint_pdf
CausesToChampion_20260213.pdf,Fact Sheet,Cause discovery / nonprofit categories,current,v20260213,2026-03-31,"One-page worksheet listing 10 cause categories (Humanitarian Aid, Community Development, Health & Human Services, Justice & Advocacy, Outreach, Discipleship, Education, Creation Care, Family Services, Philanthropic/Cultural Institutions) donors can pick from.","10 defined cause categories donors can use as a starting checklist|Points to GuideStar and Charity Navigator for finding organizations within a category|Complements Root Causes and Ripple Effects, which goes deeper on 4 specific causes",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/CausesToChampion_20260213.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63E7E65J6FFXDFB2GVJ5QVI5563N,sharepoint_pdf
Keys to Legacy.pdf,Guide,Family legacy planning,current,2020,2020-02-03,"Broader legacy-planning workbook: identifying 5 family values, preserving faith, encouraging one another, reflecting on family stories, focusing on intangible wealth, generosity, and celebration.","Older and broader in scope than How-to-Identify-Your-Familys-Values (adds faith preservation, storytelling, and celebration steps)|Frames legacy as intangible assets (values/beliefs), not inheritance|Not marked superseded - different scope from the newer values guide despite overlap","How-to-Identify-Your-Familys-Values_The-Signatry_202508.pdf (newer, more tightly scoped values exercise)",https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/Keys%20to%20Legacy.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63DHWVKDNSLWD5AK7ZRFZ2JTH5DT,sharepoint_pdf
Who-We-Serve_The-Signatry_2024.pdf,Other,Org overview / stats deck,needs-review,2024,2024-09-13,"Org overview deck: mission, vision, values, who The Signatry serves (donors, advisors, nonprofits), and headline stats (6,245 donors served, 9,658 nonprofits supported, $591M granted in 2023, generosity activation rate 28.1% vs. 10.1% industry average, $2B+ sent since 2018).","NEEDS REVIEW: stats are dated to 2023 performance - verify against signatry-facts or current annual report before reusing figures externally|Sits at the folder root, not filed under Fact Sheets or Guides|Generosity Activation Rate concept (dollars granted vs. available) is a distinctive Signatry metric worth understanding",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Who-We-Serve_The-Signatry_2024.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63ECCLC7MAVL3ZEISJEZSYQ5PHOV,sharepoint_pdf
Family Pathways_digital_202604.pdf,Guide,Family generosity pathways,current,202604,2026-04-13,"CURRENT version. Introduces three pathways (Cause, Generosity, Family) with reflection questions for each, pointing to Kristin Hammett (VP of Family Generosity Services) as the contact.","Three pathways: Cause, Generosity, Family - each with its own reflection questions and scripture|Positions Kristin Hammett as point of contact for family generosity services|Supersedes Family Pathways_0226.pdf (identical text, this is the newer file)",Family Pathways_0226.pdf (superseded - identical older version),https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/Family%20Pathways_digital_202604.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63C23HKPQE2NSJAKUPX5F3OLNVG2,sharepoint_pdf
Charity-Fund_How-It-Works_The-Signatry_202411.pdf,Fact Sheet,Charity fund (nonprofit-facing),current,202411,2024-11-20,"CURRENT. Explains how a charity fund lets a nonprofit receive noncash gifts (stock, bonds, securities) it couldn't otherwise easily accept; The Signatry handles liquidation and paperwork.","Charity funds are free to open, require no IRS paperwork, and can receive IRA charitable rollover gifts (unlike DAFs)|Nonprofit contact is nonprofitsuccess@thesignatry.com / 913-308-1999 (distinct from general donor line)|Supersedes The Signatry Charity Fund.pdf (2019 version with older contact info and narrower framing)","The Signatry Charity Fund.pdf (superseded - older version, different contact number)",https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Charity-Fund_How-It-Works_The-Signatry_202411.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63CI4SMKIF4J2ZGJP2ZJVWSBYQBD,sharepoint_pdf
Designated Funds_TheSignatry.pdf,Fact Sheet,IRA / QCD giving,needs-review,undated,2020-01-22,"Despite the filename, this fact sheet is actually about giving from a traditional IRA: qualified charitable distributions (QCD) and naming a DAF as IRA beneficiary. Uses a $140K-income worked example.",NEEDS REVIEW: cites QCD-eligibility age as 72 - CONFIRMED outdated. The thesignatry.com/other-ways-to-give webpage (current) correctly states age 70 1/2 for QCD eligibility. Update this figure before reuse.|DAFs cannot directly receive QCDs - the fact sheet correctly routes QCDs to a charity fund or designated fund instead|Filename doesn't match content topic - worth a rename during next content refresh,other-ways-to-give (webpage) - has the corrected age 70 1/2 figure,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Designated%20Funds_TheSignatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63ET3ICD5WLE4ZFJS6ORVRXLRNUR,sharepoint_pdf
Family Rhythms for Busy Seasons_0226.pdf,Fact Sheet,Seasonal family engagement letter,current,0226 (Feb 2026),2026-02-19,"Personal letter-style piece by Kristin Hammett offering back-to-school-season practices for staying connected as a family: shared values reminders, a family verse, weekly meeting time, 'high/low/buffalo,' service projects.","Written in first-person voice from Kristin Hammett - a relationship-building/newsletter-style piece, not a formal fact sheet|Practical, low-commitment ideas rather than a full framework (contrast with the Giving Meeting Agenda guides)|Good source for donor newsletter or blog content on family rhythms",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/Family%20Rhythms%20for%20Busy%20Seasons_0226.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63EEQ6INCWIH75GKA4K34VJSW44N,sharepoint_pdf
The Signatry Charity Fund.pdf,Fact Sheet,Charity fund (nonprofit-facing),superseded,undated,2019-11-05,SUPERSEDED by Charity-Fund_How-It-Works_The-Signatry_202411.pdf. Older version of the charity fund explainer with the same core mechanics but no 'IRA charitable rollover' framing and an older phone number.,,Charity-Fund_How-It-Works_The-Signatry_202411.pdf (current version),https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Fact%20Sheets/The%20Signatry%20Charity%20Fund.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63H4H3KAGH7NVBC2FDR76OIYJX7Q,sharepoint_pdf
How to Choose a Nonprofit_The Signatry_202606.pdf,Guide,Nonprofit vetting,current,202606,2026-06-05,"5-step framework for donors vetting nonprofits: invite the Holy Spirit's guidance, identify candidates, review the website (mission/impact reporting/leadership accountability/tax status), pursue in-depth conversation (with detailed question lists), pray and refine.","Cites 2023 Bank of America Study of Philanthropy stat: 96% of affluent donors say impact is a key motivator, but most don't know if their giving is achieving it|Includes a named donor quote from David Trogden - donor-quote reuse requires the standing clearance check per signatry-content-guardrails|Overlaps with Questions to Aks a Nonprofit_0226.pdf but is a fuller narrative guide vs. that file's quick-reference checklist",Questions to Aks a Nonprofit_0226.pdf (shorter checklist covering similar ground),https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/How%20to%20Choose%20a%20Nonprofit_The%20Signatry_202606.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63C2RDSD6VDSKBGKFCZVXWBKHLXJ,sharepoint_pdf
Ministry Fundraising Tips_The Signatry.pdf,Guide,Nonprofit fundraising training,current,2018,2018-08-13,"7 Keys for Effective Fundraising for ministries: know your story, know your cause, identify/reach your market, host events, master 'the ask,' measure results, share impact.","Oldest file in the library (2018) with no version-tagged successor - still evergreen, general-audience fundraising advice|Includes a concrete 'the ask' framework: Headline, Objective, Background, Financial need, Status, Action|Worth a content-currency check given its age even though no replacement exists",,https://thesignatry.sharepoint.com/sites/AllTeam/Shared%20Documents/Department-Shared/Brand%20%26%20Marketing/02.%20Fact%20Sheets%20and%20Guides/Guides/Ministry%20Fundraising%20Tips_The%20Signatry.pdf,b!So80IAsvh0eUdTDmtQzFGmdeT92dGu9Mu9V8IjhA8t4EDgW1hU37QLxlKISLVR2I,01R2DB63CGXFU47ND655CY3V4DVERXN4RB,sharepoint_pdf
