stem,name,display_name,description,svg,png512_glacier
SIG_Icon20_Generosity_RGB,Generosity,Generosity,"Open cardboard box filled with grocery items such as a bottle and bread, representing the giving or donation of goods.",assets/icons/svg/SIG_Icon20_Generosity_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Generosity_RGB.png
SIG_Icon20_Gift_RGB,Gift,Gift,"Wrapped gift box with a bow and balloon-like ribbons on top, representing a present or gift.",assets/icons/svg/SIG_Icon20_Gift_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Gift_RGB.png
SIG_Icon20_Giving-Solutions_RGB,Giving-Solutions,Giving Solutions,"Dollar sign encircled by a recycling-style arrow loop, representing a cycle of giving and financial solutions.",assets/icons/svg/SIG_Icon20_Giving-Solutions_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Giving-Solutions_RGB.png
SIG_Icon20_Giving_RGB,Giving,Giving,"Hand holding up a wrapped gift box, representing an act of giving.",assets/icons/svg/SIG_Icon20_Giving_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Giving_RGB.png
SIG_Icon20_Global-Impact_RGB,Global-Impact,Global Impact,"World map inside a circle, representing worldwide or global impact.",assets/icons/svg/SIG_Icon20_Global-Impact_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Global-Impact_RGB.png
SIG_Icon20_Goals_RGB,Goals,Goals,"Checklist document with checkmarks alongside a magnifying glass, representing reviewing or setting goals.",assets/icons/svg/SIG_Icon20_Goals_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Goals_RGB.png
SIG_Icon20_Grants_RGB,Grants,Grants,"Dollar bill with a bow on top, representing money awarded as a grant.",assets/icons/svg/SIG_Icon20_Grants_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Grants_RGB.png
SIG_Icon20_Grow(Money)_RGB,Grow(Money),Grow (Money),"Planter box holding three flowers topped with dollar and cent signs, representing growing finances or investments.",assets/icons/svg/SIG_Icon20_Grow(Money)_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Grow(Money)_RGB.png
SIG_Icon20_Grow_RGB,Grow,Grow,"Potted plant sprouting leaves with radiating light lines, representing growth.",assets/icons/svg/SIG_Icon20_Grow_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Grow_RGB.png
SIG_Icon20_Handshake_RGB,Handshake,Handshake,"Two hands shaking, representing agreement or partnership.",assets/icons/svg/SIG_Icon20_Handshake_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Handshake_RGB.png
SIG_Icon20_Heart-in-Hands_RGB,Heart-in-Hands,Heart in Hands,"A pair of cupped hands holding a heart, representing care and compassion.",assets/icons/svg/SIG_Icon20_Heart-in-Hands_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Heart-in-Hands_RGB.png
SIG_Icon20_Innovation_RGB,Innovation,Innovation,"Atom symbol with orbiting electrons, representing innovation and scientific thinking.",assets/icons/svg/SIG_Icon20_Innovation_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Innovation_RGB.png
SIG_Icon20_Investment-Pool_RGB,Investment-Pool,Investment Pool,"Circular pie chart with striped segments and a dollar-sign coin, representing pooled investment funds.",assets/icons/svg/SIG_Icon20_Investment-Pool_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Investment-Pool_RGB.png
SIG_Icon20_Journey_RGB,Journey,Journey,"Dashed winding path from a starting point circle to an X marking a destination, representing a journey or path forward.",assets/icons/svg/SIG_Icon20_Journey_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Journey_RGB.png
SIG_Icon20_Key_RGB,Key,Key,"Ornate key resting on a circular badge, representing access or a key solution.",assets/icons/svg/SIG_Icon20_Key_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Key_RGB.png
SIG_Icon20_Kingdom_RGB,Kingdom,Kingdom,"Church-like building topped with a cross and radiating light lines, representing the Kingdom of God or ministry.",assets/icons/svg/SIG_Icon20_Kingdom_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Kingdom_RGB.png
SIG_Icon20_Lightbulb_RGB,Lightbulb,Lightbulb,"Lightbulb with radiating light lines, representing an idea.",assets/icons/svg/SIG_Icon20_Lightbulb_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Lightbulb_RGB.png
SIG_Icon20_Mobile_RGB,Mobile,Mobile,"Smartphone displaying a bar chart, representing a mobile app or data viewed on a phone.",assets/icons/svg/SIG_Icon20_Mobile_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Mobile_RGB.png
SIG_Icon20_Money_RGB,Money,Money,"Stack of folded cash bills and coins marked with a dollar sign, representing money.",assets/icons/svg/SIG_Icon20_Money_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Money_RGB.png
SIG_Icon20_Monthly-Fee_RGB,Monthly-Fee,Monthly Fee,"Stack of coins with a dollar sign next to a calendar, representing a recurring monthly fee.",assets/icons/svg/SIG_Icon20_Monthly-Fee_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Monthly-Fee_RGB.png
SIG_Icon20_Percentage_RGB,Percentage,Percentage,"Percent symbol inside a dashed circle, representing a percentage or rate.",assets/icons/svg/SIG_Icon20_Percentage_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Percentage_RGB.png
SIG_Icon20_Person-Silhouette_RGB,Person-Silhouette,Person Silhouette,"Simple bust silhouette of a person, representing an individual.",assets/icons/svg/SIG_Icon20_Person-Silhouette_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Person-Silhouette_RGB.png
SIG_Icon20_Plan-Playbook_RGB,Plan-Playbook,Plan Playbook,"Clipboard displaying a play-diagram of X's, O's, and an arrow path, representing a strategic plan or playbook.",assets/icons/svg/SIG_Icon20_Plan-Playbook_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Plan-Playbook_RGB.png
SIG_Icon20_Praying-Hands_RGB,Praying-Hands,Praying Hands,"Hands clasped together in prayer with radiating light lines, representing prayer and faith.",assets/icons/svg/SIG_Icon20_Praying-Hands_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Praying-Hands_RGB.png
SIG_Icon20_Real-Estate_RGB,Real-Estate,Real Estate,"House with a circled dollar sign inside, representing real estate property value.",assets/icons/svg/SIG_Icon20_Real-Estate_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Real-Estate_RGB.png
SIG_Icon20_Resources_RGB,Resources,Resources,"Central person icon connected to five surrounding circular nodes, representing a network of resources or people.",assets/icons/svg/SIG_Icon20_Resources_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Resources_RGB.png
SIG_Icon20_Scales_RGB,Scales,Scales,"Balance scale, representing fairness and balance.",assets/icons/svg/SIG_Icon20_Scales_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Scales_RGB.png
SIG_Icon20_Selling-Business_RGB,Selling-Business,Selling Business,"Office building with a dollar-sign coin badge, representing the sale of a business.",assets/icons/svg/SIG_Icon20_Selling-Business_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Selling-Business_RGB.png
SIG_Icon20_Selling-Stock_RGB,Selling-Stock,Selling Stock,"Ascending stock chart with an upward arrow and a dollar-sign coin badge, representing selling stock.",assets/icons/svg/SIG_Icon20_Selling-Stock_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Selling-Stock_RGB.png
SIG_Icon20_Simple_RGB,Simple,Simple,"Computer monitor displaying a checkmark inside concentric circles, representing simplicity and ease of process.",assets/icons/svg/SIG_Icon20_Simple_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Simple_RGB.png
SIG_Icon20_Stewardship_RGB,Stewardship,Stewardship,"Two cupped hands holding up a circle containing a growing leaf, representing responsible stewardship of resources.",assets/icons/svg/SIG_Icon20_Stewardship_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Stewardship_RGB.png
SIG_Icon20_Stock_RGB,Stock,Stock,"Globe with a rising stock chart and dollar sign, representing global stock market growth.",assets/icons/svg/SIG_Icon20_Stock_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Stock_RGB.png
SIG_Icon20_Taxes_RGB,Taxes,Taxes,"Document with lines of text alongside a percentage symbol and a dollar sign, representing tax filing or tax rates.",assets/icons/svg/SIG_Icon20_Taxes_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Taxes_RGB.png
SIG_Icon20_Time-Clock_RGB,Time-Clock,Time Clock,"Clock face with hour and minute hands and a directional arrow, representing time or deadlines.",assets/icons/svg/SIG_Icon20_Time-Clock_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Time-Clock_RGB.png
SIG_Icon20_Tools_RGB,Tools,Tools,"Gear overlapped by a wrench, representing tools or maintenance.",assets/icons/svg/SIG_Icon20_Tools_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Tools_RGB.png
SIG_Icon20_Training_RGB,Training,Training,"Presentation easel displaying a checklist and a pie chart, representing training or educational material.",assets/icons/svg/SIG_Icon20_Training_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Training_RGB.png
SIG_Icon20_Transparency_RGB,Transparency,Transparency,"Two overlapping squares, one solid and one dashed, representing layered transparency.",assets/icons/svg/SIG_Icon20_Transparency_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Transparency_RGB.png
SIG_Icon20_Values_RGB,Values,Values,"Two cupped hands holding up a heart with radiating light lines, representing core values and compassion.",assets/icons/svg/SIG_Icon20_Values_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Values_RGB.png
SIG_Icon20_Vision_RGB,Vision,Vision,"Eye with a target-like pupil and radiating light lines, representing vision and foresight.",assets/icons/svg/SIG_Icon20_Vision_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Vision_RGB.png
SIG_Icon20_Ways-to-Give_RGB,Ways-to-Give,Ways to Give,"Open hand beneath three numbered circles (1, 2, 3), representing multiple ways or steps to give.",assets/icons/svg/SIG_Icon20_Ways-to-Give_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Ways-to-Give_RGB.png
SIG_Icon20_Webinar_RGB,Webinar,Webinar,"Computer monitor displaying a person and a speech bubble with text lines, representing an online webinar or video presentation.",assets/icons/svg/SIG_Icon20_Webinar_RGB.svg,assets/icons/png_512/glacier/SIG_Icon20_Webinar_RGB.png
